trial,HP_H_UNITS,HP_LSTM_UNITS,HP_EPOCHS,HP_BATCH,HP_LR,HP_L2_LAMBDA
1,64,128,500,64,0.0001,0.001
2,64,128,500,64,0.0005,0.001
