trial,HP_H_UNITS,HP_FILTERS,HP_POOL,HP_KERNEL,HP_EPOCHS,HP_BATCH,HP_LR,HP_L2_LAMBDA
1,60,100,5,3,200,64,0.01,0.01
2,70,100,5,3,200,64,0.01,0.01
3,80,100,5,3,200,64,0.01,0.01
4,100,100,5,3,200,64,0.01,0.01
