trial,HP_H_UNITS,HP_FILTERS,HP_POOL,HP_KERNEL,HP_EPOCHS,HP_BATCH,HP_LR,HP_L2_LAMBDA
1,100,100,5,3,300,64,0.001,0.01
2,100,100,5,3,300,64,0.01,0.01
