trial,HP_H_UNITS,HP_LSTM_UNITS,HP_EPOCHS,HP_BATCH,HP_LR,HP_L2_LAMBDA
1,64,64,300,32,0.0001,0.001
2,64,64,300,32,0.001,0.001
3,64,64,300,64,0.0001,0.001
4,64,64,300,64,0.001,0.001
5,64,128,300,32,0.0001,0.001
6,64,128,300,32,0.001,0.001
7,64,128,300,64,0.0001,0.001
8,64,128,300,64,0.001,0.001
9,64,256,300,32,0.0001,0.001
10,64,256,300,32,0.001,0.001
11,64,256,300,64,0.0001,0.001
12,64,256,300,64,0.001,0.001
