epoch,mean_acc_train,std_acc_train,mean_acc_test,std_acc_test,mean_loss_train,std_loss_train,mean_loss_test,std_loss_test
1,0.068981481,0.021882041570089453,0.1370370402932167,0.030089032,3.2597487926483155,0.013319096989049836,3.1790003776550293,0.025085977609358056
2,0.1268518552184105,0.020041537831215057,0.15,0.012283797183860754,3.1098085403442384,0.024995637,3.0092522621154787,0.055854035
3,0.1439814805984497,0.010597704,0.18148148357868193,0.036383116,2.941102170944214,0.046860943513633346,2.8243627071380617,0.088561922
4,0.182407409,0.017160880372917964,0.22592592239379883,0.027839438,2.7791282653808596,0.058798005,2.6431355476379395,0.12076723581450903
5,0.22175926268100737,0.029838675,0.2611111104488373,0.054117185,2.6120410919189454,0.086914874,2.4573413372039794,0.13528473480216108
6,0.2513888835906982,0.013305654445701807,0.3388888895511627,0.092147079,2.463340330123901,0.079572505,2.285249137878418,0.14336772722796512
7,0.2995370328426361,0.04157913,0.37962962985038756,0.039717797,2.3252262115478515,0.058968118,2.1423099994659425,0.10463460273110402
8,0.342592591,0.028651392,0.4666666567325592,0.077821852,2.1804262161254884,0.062611087,1.927529788017273,0.16196595614426507
9,0.3930555522441864,0.012457058523431189,0.5277777791023255,0.08958064,2.0060216188430786,0.062452053,1.7657234430313111,0.16826741549748792
10,0.46574074029922485,0.014224344423010318,0.5240740776062012,0.088152819,1.8543008327484132,0.068302507,1.6507339477539062,0.16400736185092224
11,0.48009259104728697,0.052919726,0.5740740835666657,0.087056734,1.7438766717910767,0.10098868225686462,1.5057730197906494,0.1454323714206128
12,0.519907409,0.030024856,0.5592592656612396,0.079994846,1.654367709159851,0.082406163,1.4527718782424928,0.14330603179329215
13,0.5342592597007751,0.027677288665815803,0.635185182,0.072577485,1.5688328981399535,0.087978769,1.3442746877670289,0.15667270693891938
14,0.5518518567085267,0.032559166,0.6259259223937989,0.043271564,1.4865965843200684,0.06434091,1.3584966897964477,0.084856637
15,0.5597222208976745,0.012196234371159836,0.635185182,0.091023756,1.4682517766952514,0.030003162,1.2643484115600585,0.13807194467520942
16,0.5935185194015503,0.021195406581794373,0.6925925970077514,0.040740738131786185,1.3513261318206786,0.040478364,1.1527266383171082,0.11864329352381892
17,0.5925925970077515,0.022057645183103325,0.6888888835906982,0.075359229,1.3273652076721192,0.064391332,1.1326910257339478,0.2149301794808178
18,0.6439814686775207,0.031887358690239384,0.6481481552124023,0.10670267556449857,1.2446810483932496,0.079701792,1.0810736417770386,0.1609578782501467
19,0.6347222089767456,0.042086361,0.6777777791023254,0.096829017,1.220033383369446,0.077741955,1.0635024666786195,0.13238264156726068
20,0.6458333373069763,0.035166915,0.7,0.093989457,1.1804537773132324,0.063473876,1.039796769618988,0.21279808025996705
21,0.6712962985038757,0.027192903537194973,0.6833333373069763,0.067636961,1.1321030855178833,0.047376108032450744,1.018151057,0.11456626785005262
