trial,HP_H_UNITS,HP_LSTM_UNITS,HP_EPOCHS,HP_BATCH,HP_LR,HP_L2_LAMBDA
1,128,64,300,32,0.0001,0.001
2,128,64,300,32,0.001,0.001
3,128,64,300,64,0.0001,0.001
4,128,64,300,64,0.001,0.001
5,128,128,300,32,0.0001,0.001
6,128,128,300,32,0.001,0.001
7,128,128,300,64,0.0001,0.001
8,128,128,300,64,0.001,0.001
9,128,256,300,32,0.0001,0.001
10,128,256,300,32,0.001,0.001
11,128,256,300,64,0.0001,0.001
12,128,256,300,64,0.001,0.001
